question stem,option A,option B,option C,option D,option A feedback,option B feedback,option C feedback,option D feedback,correct answer,data content ID,question nickname
Which of the following points is a solution to the graph below?,"\((2, 7)\)","\((0, 3)\)","\((7, 2)\)","\((-2, -6)\)","That's correct! Check yourself: When\( x=2, y=3(2)+1=7 \).","Incorrect. When \(x =0\) and \(y= 3\), the point is not on the line so it is not a solution. Let's try again a different way: Find a point that is on the line. The correct answer is \( (2, 7) \).","Incorrect. Make sure to always write the \(x\)-coordinate first in the ordered pair. Let's try again a different way: Find a point that is on the line. The correct answer is \( (2, 7) \).","Incorrect. When \(x = -2\) and \(y =-6\), the point is not on the line so it is not a solution. Let's try again a different way: Find a point that is on the line. The correct answer is \( (2, 7) \).",A,1c59e3e5-5464-4cea-bb97-44b5c26af392,Alg1_1_5_4_SC
Which equation is equivalent to \( 3x-6=18 \)?,\( 3x = 24 \),\( 3x = 12 \),\( x - 2 =18 \),\( 3x + 12 = 0 \),That's correct! Check yourself: Use inverse operations and add 6 to each side of the equation.,Incorrect. Let's try again a different way. Use inverse operations to add 6 to each side of the equation. The answer is \(3x = 24\).,"Incorrect. Let's try again a different way. If you divide terms by 3, you must divide ALL terms in the equation by 3. The answer is \( 3x = 24 \).","Incorrect. Let's try again a different way. If you use inverse operations to bring 18 over to the other side of the equation, you must subtract 18 from both sides of the equation. The answer is \( 3x = 24 \).",A,b14d7709-8929-464b-a9ea-01d2c9e63f9e,Alg1_1_6_2_SC
Which of the following is a correct next step to create an equation equivalent to \( x - 0.2x - 4.2 =13.4 \)?,\( 0.8x - 4.2 = 13.4 \),\( 10(x - 0.2x-4.2) = 13.4 \),\( x - 0.2x = 9.2 \),\( 2(x - 0.2x) = 17.6 \),That's correct! Check yourself: Combine like terms so that \( x - 0.2x=0.8x \).,"Incorrect. Let's try again a different way: Multiplying by 10 can help get rid of the decimal; however, you must multiply both sides by the same quantity. The answer is \( 0.8x - 4.2 =13.4 \).","Incorrect. Let's try again a different way: Since the 4.2 was subtracted in the original equation, it should have been added to both sides. The answer is \( 0.8x -4.2 =13.4 \).","Incorrect. Let's try again a different way: If one side is multiplied by 2, the other side must also be multiplied by 2. The answer is \( 0.8x -4.2 =13.4 \).",A,93d6b681-4e84-4229-96a9-944bbb84ee83,Alg1_1_6_3_SC
Select all of the following equations that are equivalent to \( 3(x - 2) = 18 \).,\( x - 18 = 6 \),\( 3x - 2 = 18 \),\( 3x - 6 = 18 \),\( 3x = 12 \),Incorrect. Try these again in the additional resources.,"Incorrect. Let's try again a different way: The 3 should have been distributed to both x and the -2. The answers are \( x - 2 = 6 \), \( 3x - 6 = 18 \), and \( 3x = 24 \).",That's correct! Check yourself: The 3 was correctly distributed on the left side of the equation. This equation is equivalent to \( 3(x-2)=18 \).,Incorrect. Try some of these again in the in additional resources section.,C,09f82676-cf96-4b68-86dc-4d83b6f274f9,Alg1_1_7_2_SC
Which of the following equations has a solution?,\( 3x = x + 18\),\( 2x = 2x+1 \),\( x + 3 = x - 2 \),\( 10x+ 10 = 7x + 3x \),"Correct. When x is subtracted from each side and each side is divided by 2, \( x \) will have a solution, \( x = 9 \).",Incorrect. Let's try this another way. There are no values for \( x \) that will make this equation true. The correct answer is \( 3x = x + 18 \).,"Incorrect. Let's try this another way. Subtract \( x \) from both sides results in a false equation, \( 3 = -2 \). There are no values for \( x \) that will make this equation true. The correct answer is \( 3x = x + 18 \).","Incorrect. Let's try this another way. Combining the like terms on the right side and subtracting \( 10x \) from both sides results in a false statement, \( 10 = 0 \). There are no values for \( x \) that will make this equation true. The correct answer is \( 3x = x + 18 \).",A,3de5af2c-c810-4c57-a682-d4c8fa51957f,Alg1_1_7_3_SC
"Use formula for the area of a triangle, \( A=\frac{1}{2}bh \), where \( b \) is the base of the triangle and \( h \) is the height of the triangle. Which equation would best be used to find the base of the triangle?",\( b=\frac{2A}{h} \),\( h=\frac{2A}{b} \),\( 2A=bh \),\( \frac{1}{2}b=\frac{A}{h} \),"That's correct! Check yourself: To find the base, solve for \( b \). Multiply both sides by 2 then divide both sides by h. Now, \( b=\frac{2A}{h} \).","Incorrect. Let's try again a different way: Since \( b \) stands for the base in the formula, solve the formula for \( b \). The answer is \( b=\frac{2A}{h} \)}.","Incorrect. Let's try again a different way: Since \( b \) stands for the base in the formula, solve the formula for \( b \). The answer is \( b=\frac{2A}{h} \).","Incorrect. Let's try again a different way: Since \( b \) stands for the base in the formula, solve the formula for \( b \). The answer is \( b=\frac{2A}{h} \).",A,9c2643b9-5c00-4c6b-982d-fd071c1e6810,Alg1_1_8_2_SC
"A pool is filled with 15,000 gallons of water. It loses 200 gallons per day. How many days, \( d \), have passed when the pool has \( g \) gallons of water?","\( \frac{15,000-g}{200} \)","\( 15,000-200d \)",\( g-200d \),\( \frac{g}{200d} \),"That's correct! Check yourself: To find how many days it takes to get to \( g \) gallons, solve \( g=15,000-200d \), for \( d \).","Incorrect. Let's try again a different way: This represents the number of gallons in the pool. Write an expression to find the days. The answer is \( \frac{15,000-g}{200} \).","Incorrect. Let's try again a different way: Be sure to include that the pool started with 15,000 gallons. The answer is \( \frac{15,000-g}{200} \).","Incorrect. Let's try again a different way: Be sure to include that the pool started with 15,000 gallons. The answer is \( \frac{15,000-g}{200} \).",A,26e58ec2-9013-4a31-b98b-7809ea3c1cf8,Alg1_1_8_3_SC
"The total revenue a high school makes from a play is T dollars. The revenue is made from selling tickets at $3.25 per child ticket, c,  and $7.50 for each adult ticket, a. Which equation is best to find the number of child tickets sold?",\( C= \frac{T-7.50a}{3.25} \),\( T=3.25c+7.50a \),\( a= \frac{T-3.25c}{7.50} \),\( c= \frac{T}{3.25} \),"That's correct! Check yourself: The number of child tickets sold is found by subtracting the cost of an adult ticket times the number of adults from the ticket revenue, then dividing by the cost of a child ticket.",Incorrect. Let's try again a different way: This equation would be best for finding the total ticket revenue. Try solving for c. The answer is \( c= \frac{T-7.50a}{3.25} \).,Incorrect. Let's try again a different way: This equation would be best for finding the number of adult tickets sold. Try solving for c. The answer is\( c= \frac{T-7.50a}{3.25} \).,Incorrect. Let's try again a different way:  The amount made from adult tickets must be subtracted from the total. The answer is\( c= \frac{T-7.50a}{3.25} \).,A,13fa95d6-e2f3-46ea-af52-3cb11d8b6270,Alg1_1_9_2_SC
"A farmer makes money selling pumpkins and apples in the fall. His revenue, M, is made from selling pumpkins, p, for $4.00 and apples, a, for $0.75. Which equation is solved to help him find out how many pumpkins he sold?",\( p= \frac{M-0.75a}{4.00} \),\( M=4.00p+0.75a \),\( a= \frac{M-4.00p}{1.75} \),\( p= \frac{m}{4.00} \),"That's correct! Check yourself: To find out how many pumpkins were sold, take the total revenue, \( M \), subtract the amount made from apples, then divide by $4.00.",Incorrect. Let's try again a different way: This would help the farmer find out how much revenue he made. Solve for p. The answer is \( p= \frac{M-0.75a}{4.00} \).,Incorrect. Let's try again a different way:  This would help the farmer find out how many apples he sold. Try solving for p. The answer is \( p= \frac{M-0.75a}{4.00} \).,Incorrect. Let's try again a different way: Make sure to consider the amount made from apples in the equation. The answer is \( p= \frac{M-0.75a}{4.00} \).,A,f8d00185-fe92-4cad-b9e0-4460d4524611,Alg1_1_9_3_SC
Which of the following equations correctly solved \( 2x+4y=8 \) for \( y \)?,\( y=\frac{-1}{2}x+2 \),\( y=-2x+4 \),\( y=\frac{1}{2}x+2 \),\( y=\frac{-1}{2}x+8 \),"That's correct! Check yourself: To solve for y, first subtract \( 2x \)  from both sides then divide both sides by 4. Finally, simplify any fractions.","Incorrect. Let's try again a different way: Make sure you solve for \( y \) , not \( x \) . The answer is \( y=\frac{-1}{2}x+2 \).",Incorrect. Let's try again a different way: Make sure to subtract \( 2x \)  from both sides of the equation when solving for \( y \) . The answer is \( y=\frac{-1}{2}x+2 \).,Incorrect. Let's try again a different way: Make sure to divide all of the terms by 4. The answer is \( y=\frac{-1}{2}x+2 \).,A,f0f94e87-a19f-44ad-a069-29a0e4c83c19,Alg1_1_10_2_SC
"A coin jar contains 75 cents and only contains quarters and nickels. Write an equation that relates the number of quarters, \( q \), the number of nickels, \( n \), and the amount of money, in cents, in the coin jar.",\( 25q + 5n =75 \),\( 25q + 5n =0.75 \),\( 25q - 5n =75 \),\( 0.05n - 0.25q =0.75 \),That's correct! Check yourself: Each quarter is worth 25 cents or 0.25 of a dollar and each nickel is worth 5 cents or 0.05 of a dollar. The total is 75 cents or 0.75. Then multiply each decimal on both sides by 100.,"Incorrect. Let's try again a different way: Write the value of the quarters and nickels as cents. The answer is \( 25q + 5n =75 \),","Incorrect. Let's try again a different way: The sum of the amount of nickels and quarters will equal 75 cents, not the difference. The answer is \( 25q + 5n =75 \),","Incorrect. Let's try again a different way: The sum of the amount of nickels and quarters will equal 75 cents, not the difference. The answer is \( 25q + 5n =75 \),",A,9dabaa6d-337f-4e4a-a886-b218e89b4bad,Alg1_1_10_3_SC
"For the line graphed below, what is the \(y\)-intercepts?","\(  (0, -5)  \)","\( (-5,0) \)","\( (0, 5) \)","\( (5, 0) \)","That's correct! Check yourself: The \( y \)-intercept is where the graph crosses the vertical, when \( x=0 \).","Incorrect. Let's try again a different way: This is the \( x \)-intercept. Look at where the line crosses the vertical axis. The answer is \( (0, -5) \).","Incorrect. Let's try again a different way: Look at where the line crosses the vertical axis. It crosses below the \( x \)-axis. The sign should be negative. The answer is \( (0, -5) \).","Incorrect. Let's try again a different way: Look at where the line crosses the vertical axis. It crosses below the \( x \)-axis. Also, a coordinate is written \( (x, y) \). The answer is \( (0, -5) \).",A,cbc2b8d5-5830-42e8-a058-8b74cb261a86,Alg1_1_11_2_SC
What is the slope of the line \( 4x + 3y = 12 \)?,\( -\frac{4}{3} \),\( \frac{3}{4} \),\( -\frac{3}{4} \),\( \frac{4}{3} \),That's correct! Check yourself: The slope of a line in standard form is  \(  \frac{-A}{B}  \).,Incorrect. Let's try again a different way: The slope of a line in standard form is \( \frac{-A}{B} \). The correct answer is \( \frac{-4}{3} \).,"Incorrect. Let's try again a different way: The slope of a line in standard form is \( \frac{-A}{B} \), not \( \frac{-B}{A} \). The correct answer is \( \frac{-4}{3} \).",Incorrect. Let's try again a different way: The slope of a line in standard form is \(  \frac{-A}{B}  \)The correct answer is \( \frac{-4}{3} \).,A,2291ffce-34c6-4099-abea-66b359f6598a,Alg1_1_11_3_SC
Write the equation of a line in slope-intercept form with a slope of \( - \frac{3}{4} \) and a \( y \)-intercept of \( -2 \).,\( y = - \frac{3}{4} x - 2 \),\( y = -\frac{3}{4} x + 2 \),\( 3x + 4y =-8 \),\( y = \frac{3}{4} x -2 \),"That's correct! Check yourself: The slope intercept form is \( y=mx+b \). The slope is \( m= -\frac{3}{4} \) and the \(y\)-intercept is \( b=-2 \), so this is the correct equation.",Incorrect. Let's try again a different way: The slope-intercept form of the equation of a line is \( y=mx+b \). Be careful with the signs during substitution. The answer is \( y = - \frac{3}{4} x - 2 \).,"Incorrect. Let's try again a different way: Make sure to use the correct form. This is standard form, not slope-intercept form. The answer is \( y = - \frac{3}{4} x - 2 \).",Incorrect. Let's try again a different way: The slope-intercept form of the equation of a line is \( y=mx+b \). Be careful with the signs during substitution. The answer is \( y = - \frac{3}{4} x - 2 \).,A,57482569-6a58-4e1b-a192-f78693d81265,Alg1_1_12_2_SC
"Which equation represents the slope-intercept form of the equation of a line with slope \( m = -\frac{3}{4} \) that contains the point \( (4, −7) \)?",\( y =-\frac{3}{4}x - 4  \),\( y =-\frac{3}{4}x - \frac{5}{4} \),\( y =-\frac{3}{4}x - 11 \),\( y =-\frac{3}{4}x +10  \),"That's correct! Check yourself:Substitute \(-\frac{3}{4} \) for \( m, 4 \) for \( x_1 \), and \( -7 \) for \( y_1 \) in the point-slope form: \( y - y_1 = m(x - x_1) \).Simplify the equation \( y - (-7) = -\frac{3}{4}(x - 4) \) to get \( y + 7 = -\frac{3}{4}x + 3 \).","Incorrect. Let's try again a different way: Remember the \( x \)-coordinate is the first coordinate and the \( y \)-coordinate is the second coordinate.Substitute \(-\frac{3}{4} \) for \( m, 4 \) for \( x_1 \), and \( -7 \) for \( y_1 \) in the point-slope form: \( y - y_1 = m(x - x_1) \).Simplify the equation \( y - (-7) = -\frac{3}{4}(x - 4) \) to get \( y + 7 = -\frac{3}{4}x + 3 \).The answer is \( y = -\frac{3}{4}x - 4 \).","Incorrect. Let's try again a different way:Substitute \(-\frac{3}{4} \) for \( m, 4 \) for \( x_1 \), and \( -7 \) for \( y_1 \) in the point-slope form: \( y - y_1 = m(x - x_1) \).Simplify the equation \( y - (-7) = -\frac{3}{4}(x - 4) \).Be careful when using the Distributive Property to multiply \( -\frac{3}{4} \) by \( x \) and by \( 4 \).The equation simplifies to \( y + 7 = -\frac{3}{4}x + 3 \).The answer is \( y =-\frac{3}{4}x - 4 \).","Incorrect. Let's try again a different way:Substitute \(-\frac{3}{4} \) for \( m, 4 \) for \( x_1 \), and \( -7 \) for \( y_1 \) in the point-slope form: \( y - y_1 = m(x - x_1) \).Simplify the equation \( y - (-7) = -\frac{3}{4}(x - 4) \). Watch the signs when simplifying. The equation simplifies to \( y + 7 = -\frac{3}{4}x + 3 \).The answer is \( y =-\frac{3}{4}x- 4 \).",A,c391a775-f009-4517-8b3a-1c43824fc92f,Alg1_1_12_3_SC
"Which equation represents the slope-intercept form of the equation of a line containing the points \( (-2, -4) \) and \( (1, -3) \)?",\( y = \frac{1}{3}x - \frac{10}{3} \),\( y = \frac{1}{3}x - \frac{7}{3} \),\( y = 7x + 10 \),\( y = 3x - 6  \),"That's correct! Check yourself:First find the slope by substituting \( -3 \) for \( y_2 \), \( -4 \) for \( y_1 \), 1 for \( x_2 \), and \( -2 \) for \( x_1 \) in the slope formula: \( m= \frac{y_2-y_1}{x_2-x_1} \). The slope is \( m= \frac{-3-(-4)}{1-(-2)} = \frac{1}{3} \).Substitute the slope and the coordinates of the points into the point-slope form: \( y - y_1 = m(x - x_1) \).Simplify the equation \( y - (-3) = \frac{1}{3}(x - 1) \) to get \( y + 3 = \frac{1}{3}x - \frac{1}{3} \).","Incorrect. Let's try again a different way:First find the slope by substituting \( -3 \) for \( y_2 \), \( -4 \) for \( y_1 \), 1 for \( x_2 \), and \( -2 \) for \( x_1 \) in the slope formula: \( m= \frac{y_2-y_1}{x_2-x_1} \). The slope is \( m= \frac{-3-(-4)}{1-(-2)} = \frac{1}{3} \).Substitute the slope and the coordinates of the points into the point-slope form: \( y - y_1 = m(x - x_1) \). You can use the coordinates from either point. Make sure you choose the \( x \)- and \( y \)-value from the same point.Simplify the equation \( y - (-3) = \frac{1}{3}(x - 1) \) to get \( y + 3 = \frac{1}{3}x - \frac{1}{3} \). The answer is \( y =\frac{1}{3}x - 3\frac{1}{3} \).","Incorrect. Let's try again a different way:First find the slope by substituting \( -3 \) for \( y_2 \), \( -4 \) for \( y_1 \), 1 for \( x_2 \), and \( -2 \) for \( x_1 \) in the slope formula: \( m= \frac{y_2-y_1}{x_2-x_1} \). The slope is \( m= \frac{-3-(-4)}{1-(-2)} = \frac{1}{3} \).Substitute the slope and the coordinates of the points into the point-slope form: \( y - y_1 = m(x - x_1) \).Simplify the equation \( y - (-3) = \frac{1}{3}(x - 1) \) to get \( y + 3 = \frac{1}{3}x - \frac{1}{3} \). The answer is \( y =\frac{1}{3}x - 3\frac{1}{3} \).","Incorrect. Let's try again a different way:Remember, the \(x\)-coordinate is the first coordinate and the \(y\)-coordinate is the second coordinate.The slope is the change in \(y\) over the change in \(x\). Find the slope by substituting \( -3 \) for \( y_2 \), \( -4 \) for \( y_1 \), 1 for \( x_2 \), and \( -2 \) for \( x_1 \) in the slope formula: \( m= \frac{y_2-y_1}{x_2-x_1} \). The slope is \( m= \frac{-3-(-4)}{1-(-2)} = \frac{1}{3} \).Substitute the slope and the coordinates of the points into the point-slope form: \( y - y_1 = m(x - x_1) \).Simplify the equation \( y - (-3) = \frac{1}{3}(x - 1) \) to get \( y + 3 = \frac{1}{3}x - \frac{1}{3} \). The answer is \( y =\frac{1}{3}x - 3\frac{1}{3} \).",A,628b0fa2-3c3f-4849-93d2-49eb740ddd29,Alg1_1_12_5_SC
Which of the following equations could be represented by this table of values?\(x\)0123\(y\)20232629,\( y = 3x +20 \),\( y = \frac{1}{3}x + 20 \),\( y = 20x \),\( y = 20x + 3 \),"That's correct! Check yourself:The \(y\)-intercept, when x = 0, is at 20. The slope, or change in \(y\) over change in \(x\), is 3/1 or 3.",Incorrect. Let's try again a different way: The slope is found by the change in \(y\) over the change in \(x\). The answer is \(y= 3x +20.\),"Incorrect. Let's try again a different way: The \(y\)-intercept is 20, not the slope. The answer is \(y = 3x +20\).",Incorrect. Let's try again a different way: This rule does not work for each column in the table. The answer is \(y = 3x +20\),A,0ebeedaa-f3f8-4b9e-9d85-9c7d92750d99,Alg1_1_13_2_SC
Which of the following is a representation of \(y = 30x\)?,Josie paid $30 per pair of jeans.,Eric was paid $30 to cut grass in July plus $5 each time he came to cut the grass.,\(x\)0123\(y\)30354045,,"That's correct! Check yourself: If Josie paid $30 per pair of jeans, that $30 represents the slope or rate of change in the equation.",Incorrect. Let's try again a different way: Eric was paid $30 as a base rate. This is what the \(y\)-intercept would be. The slope would be 5. The answer is Josie paid $30 per pair of jeans.,"Incorrect. Let's try again a different way: In this table, 30 is the \(y\)-intercept, not the slope. In the equation, 30 is the slope.The answer is Josie paid $30 per pair of jeans.","Incorrect. Let's try again a different way: In this graph, 30 is the \(y\)-intercept, not the slope. In the equation, 30 is the slope.The answer is Josie paid $30 per pair of jeans.",A,40650dc8-e621-4195-8cf6-cfb43d360a6e,Alg1_1_13_3_SC
